@relation d159-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.AddExpression-Ea33+1-Nexpression-weka.filters.unsupervised.attribute.Remove-R33

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute oz26 numeric
@attribute oz27 numeric
@attribute oz28 numeric
@attribute oz29 numeric
@attribute oz30 numeric
@attribute oz31 numeric
@attribute oz32 numeric
@attribute class {1,2} 

@data
0.612903,0.32222,0.653972,0.67775,0.698863,0.875,0.44307,0.76628,0.244249,0.38272,0.15633,0.030385,0.250001,0.333326,0,0,0,0.181818,0,0.199996,0,0,0.199996,0,0.285717,0.166669,0.428584,0.500011,0.285717,0.142858,0,0,2
0.633514,0.41111,0.663763,0.61637,0.724427,0.875,0.471979,0.33224,0.245835,0.53086,0.15509,0.032115,0.250001,0.333326,0,0,0,0.181818,0,0.199996,0,0,0,0,0.285717,0.166669,0.428584,0.500011,0.285717,0.285717,0,0,2
0.674736,0,0.690044,0,0.684662,0.95833,0.536208,0.59551,0.211732,0.69136,0.15361,1,0.250001,0.333326,0,0,0,0.181818,0,0.199996,0,0.142858,0,0,0.285717,0.166669,0.428584,0.400008,0.285717,0.285717,0,0,2
0.674736,0.7,0.690044,0.80563,0.684662,0.25,0.536208,0.44335,0.211732,0.39506,0.15361,0,0.250001,0.333326,0,0,0,0.181818,0,0.199996,0,0.142858,0,0,0.285717,0.166669,0.428584,0.400008,0.285717,0.285717,0,0,2
0.646954,1,0.659315,1,0.676134,0.66667,0.580782,0.98522,0.243462,0.037037,0.20117,0.0025,0.250001,0.333326,0.052632,0,0,0.090909,0,0.199996,0,0.142858,0,0,0.285717,0.166669,0.428584,0.400008,0.285717,0.285717,0,0,2
0.650539,0.32222,0.67267,0.67775,0.684662,0.875,0.548106,0.76628,0.241876,0.38272,0.19957,0.030385,0.250001,0.333326,0.052632,0,0,0.181818,0,0.199996,0,0.142858,0,0,0.285717,0.166669,0.428584,0.300006,0.285717,0.285717,0,0,2
0.695346,0.7,0.699393,0.80563,0.650569,0.25,0.613253,0.44335,0.215701,0.39506,0.19809,0,0.250001,0.333326,0.052632,0,0,0.181818,0,0.199996,0,0.142858,0,0,0.285717,0.166669,0.428584,0.2,0.285717,0.428584,0,0,2
0.641576,0.42222,0.674006,0.63427,0.690334,0.58333,0.61858,0.67707,0.255358,0.45679,0.20006,0.031923,0.250001,0,0.052632,0,0,0.181818,0,0.199996,0,0.142858,0,0,0.285717,0.333338,0.428584,0.2,0.285717,0.428584,0,0,2
0.682797,0,0.700287,0,0.650569,0.95833,0.682808,0.59551,0.221255,0.69136,0.19858,1,0.250001,0,0.052632,0,0,0.181818,0,0.199996,0,0.285717,0,0,0.285717,0.333338,0.428584,0.1,0.285717,0.428584,0,0,2
0.699823,0,0.721883,0,0.656251,0.95833,0.698687,0.59551,0.201432,0.69136,0.19672,1,0.250001,0,0.052632,0,0,0.181818,0,0.199996,0,0.285717,0,0,0.428584,0.166669,0.428584,0.1,0.285717,0.428584,0,0,2
0.691761,0.96667,0.725663,0.92327,0.676134,0.375,0.707463,0.99453,0.196665,0.12346,0.19664,0.0025,0.250001,0,0.052632,0,0,0.181818,0,0.199996,0,0.285717,0,0,0.571446,0.166669,0.428584,0.1,0.142858,0.428584,0,0,2
0.702507,0.96667,0.733688,0.92327,0.684662,0.375,0.632091,0.99453,0.204603,0.12346,0.19513,0.0025,0.250001,0,0.052632,0,0,0.272732,0,0.199996,0,0.285717,0,0,0.428584,0.166669,0.428584,0.1,0.142858,0.428584,0,0,2
0.678321,0.92222,0.716314,0.91816,0.684662,0.29167,0.643989,0.98522,0.234736,0,0.24108,0.0025,0.250001,0,0.105263,0,0,0.272732,0,0.199996,0,0.285717,0,0,0.428584,0.166669,0.428584,0,0.142858,0.428584,0,0,2
0.706994,0.45556,0.778441,0.76982,0.653405,1,0.664174,0,0.200634,0.50617,0.19287,0,0.250001,0,0.105263,0,0,0.272732,0,0.199996,0,0.285717,0,0,0.428584,0.166669,0.285717,0,0.142858,0.428584,0,0.166669,2
0.683688,0.11111,0.761962,0.41688,0.696027,0.875,0.653255,0.4532,0.209359,1,0.19447,0.95577,0.125001,0,0.105263,0,0,0.272732,0,0.199996,0,0.285717,0,0,0.428584,0.166669,0.285717,0.1,0.142858,0.428584,0,0.166669,2
